igdb_id,steam_appid,fetched_at_utc
135400,,2026-08-28T05:10:39+00:00
151353,1599600,2026-08-28T05:10:39+00:00
151353,1613620,2026-08-28T05:10:39+00:00
151467,2707930,2026-08-28T05:10:39+00:00
151665,1623730,2026-08-28T05:10:39+00:00
159298,1449850,2026-08-28T05:10:39+00:00
171233,1671210,2026-08-28T05:10:39+00:00
174844,3308670,2026-08-28T05:10:39+00:00
174844,3347400,2026-08-28T05:10:39+00:00
178282,,2026-08-28T05:10:39+00:00
185258,1808500,2026-08-28T05:10:39+00:00
191692,1364780,2026-08-28T05:10:39+00:00
191692,1952120,2026-08-28T05:10:39+00:00
197202,1943950,2026-08-28T05:10:39+00:00
204538,2139460,2026-08-28T05:10:39+00:00
217590,1778820,2026-08-28T05:10:39+00:00
262186,2507950,2026-08-28T05:10:39+00:00
279624,1478500,2026-08-28T05:10:39+00:00
294041,2767030,2026-08-28T05:10:39+00:00
298915,2073620,2026-08-28T05:10:39+00:00
301298,1422450,2026-08-28T05:10:39+00:00
317407,2807960,2026-08-28T05:10:39+00:00
329691,4750540,2026-08-28T05:10:39+00:00
340113,2075800,2026-08-28T05:10:39+00:00
347633,2584270,2026-08-28T05:10:39+00:00
348168,2713000,2026-08-28T05:10:39+00:00
348220,3606480,2026-08-28T05:10:39+00:00
348648,3293260,2026-08-28T05:10:39+00:00
349524,3527290,2026-08-28T05:10:39+00:00
353848,3405690,2026-08-28T05:10:39+00:00
378170,4001890,2026-08-28T05:10:39+00:00
391813,4423580,2026-08-28T05:10:39+00:00
400379,3940610,2026-08-28T05:10:39+00:00
406882,4018740,2026-08-28T05:10:39+00:00
408823,4356430,2026-08-28T05:10:39+00:00
410290,3669200,2026-08-28T05:10:39+00:00
740,,2026-08-28T05:34:04+00:00
119171,1086940,2026-08-28T05:34:04+00:00
135647,,2026-08-28T05:34:04+00:00
320141,3282300,2026-08-28T05:34:04+00:00
403310,4435490,2026-08-28T05:34:04+00:00
382,,2026-08-28T05:44:08+00:00
2965,,2026-08-28T05:44:08+00:00
11708,269210,2026-08-28T05:44:08+00:00
15707,,2026-08-28T05:59:29+00:00
202279,1997040,2026-08-28T05:59:29+00:00
288327,,2026-08-28T05:59:29+00:00
364,,2026-08-28T18:41:01+00:00
1595,,2026-08-28T18:41:01+00:00
1879,105600,2026-08-28T18:41:01+00:00
1911,238960,2026-08-28T18:41:01+00:00
4567,,2026-08-28T18:41:01+00:00
7574,,2026-08-28T18:41:01+00:00
11137,1172620,2026-08-28T18:41:01+00:00
14593,367520,2026-08-28T18:41:01+00:00
18090,438040,2026-08-28T18:41:01+00:00
28107,3127280,2026-08-28T18:41:01+00:00
79392,,2026-08-28T18:41:01+00:00
125633,3321460,2026-08-28T18:41:01+00:00
134606,,2026-08-28T18:41:01+00:00
135381,,2026-08-28T18:41:01+00:00
222341,2124490,2026-08-28T18:41:01+00:00
252870,2412960,2026-08-28T18:41:01+00:00
285584,,2026-08-28T18:41:01+00:00
305152,1903340,2026-08-28T18:41:01+00:00
325609,2592160,2026-08-28T18:41:01+00:00
325996,,2026-08-28T18:41:01+00:00
333568,,2026-08-28T18:41:01+00:00
386228,4246860,2026-08-28T18:41:01+00:00
400824,3448650,2026-08-28T18:41:01+00:00
986,,2026-08-29T02:49:27+00:00
1030,,2026-08-29T02:49:27+00:00
1877,1091500,2026-08-29T02:49:27+00:00
5619,,2026-08-29T02:49:27+00:00
88818,,2026-08-29T02:49:27+00:00
200551,4162040,2026-08-29T02:49:27+00:00
250616,553850,2026-08-29T02:49:27+00:00
314276,1941540,2026-08-29T02:49:27+00:00
325591,2622380,2026-08-29T02:49:27+00:00
347668,3764200,2026-08-29T02:49:27+00:00
397984,4421010,2026-08-29T02:49:27+00:00
400601,4032350,2026-08-29T02:49:27+00:00
411464,4938200,2026-08-29T02:49:27+00:00
9804,216150,2026-08-29T11:04:58+00:00
19456,387290,2026-08-29T11:04:58+00:00
31551,2515020,2026-08-29T11:04:58+00:00
101440,1643320,2026-08-29T11:04:58+00:00
107292,761600,2026-08-29T11:04:58+00:00
114009,851850,2026-08-29T11:04:58+00:00
115289,1030300,2026-08-29T11:04:58+00:00
133807,2225070,2026-08-29T11:04:58+00:00
152779,1331550,2026-08-29T11:04:58+00:00
152779,1648860,2026-08-29T11:04:58+00:00
165192,,2026-08-29T11:04:58+00:00
176057,1721470,2026-08-29T11:04:58+00:00
214414,3564740,2026-08-29T11:04:58+00:00
243611,,2026-08-29T11:04:58+00:00
252168,,2026-08-29T11:04:58+00:00
289696,2825860,2026-08-29T11:04:58+00:00
377037,3994120,2026-08-29T11:04:58+00:00
2165,236390,2026-08-29T16:43:08+00:00
2584,8500,2026-08-29T16:43:08+00:00
24985,431240,2026-08-29T16:43:08+00:00
63350,,2026-08-29T16:43:08+00:00
132181,2050650,2026-08-29T16:43:08+00:00
253412,2399420,2026-08-29T16:43:08+00:00
265111,2567870,2026-08-29T16:43:08+00:00
267094,2586440,2026-08-29T16:43:08+00:00
326325,3196440,2026-08-29T16:43:08+00:00
372947,3565980,2026-08-29T16:43:08+00:00
379356,4026250,2026-08-29T16:43:08+00:00
59,22330,2026-08-29T20:55:22+00:00
124,550,2026-08-29T20:55:22+00:00
472,72850,2026-08-29T20:55:22+00:00
11133,374320,2026-08-29T20:55:22+00:00
111469,945360,2026-08-29T20:55:22+00:00
117717,703080,2026-08-29T20:55:22+00:00
117717,838040,2026-08-29T20:55:22+00:00
152927,1686660,2026-08-29T20:55:22+00:00
152927,1841660,2026-08-29T20:55:22+00:00
165684,1707550,2026-08-29T20:55:22+00:00
201789,1874880,2026-08-29T20:55:22+00:00
201789,1874900,2026-08-29T20:55:22+00:00
226035,2142790,2026-08-29T20:55:22+00:00
248994,2406770,2026-08-29T20:55:22+00:00
282355,1631270,2026-08-29T20:55:22+00:00
353925,,2026-08-29T20:55:22+00:00
397402,4317790,2026-08-29T20:55:22+00:00
413646,5053820,2026-08-29T20:55:22+00:00
3212,1222670,2026-08-30T00:19:28+00:00
89675,,2026-08-30T00:19:28+00:00
112191,5019180,2026-08-30T00:19:28+00:00
121760,860510,2026-08-30T00:19:28+00:00
146050,,2026-08-30T00:19:28+00:00
266836,,2026-08-30T00:19:28+00:00
307223,,2026-08-30T00:19:28+00:00
347132,3787240,2026-08-30T00:19:28+00:00
368253,,2026-08-30T00:19:28+00:00
387374,,2026-08-30T00:19:28+00:00
391780,2492670,2026-08-30T00:19:28+00:00
391780,4184400,2026-08-30T00:19:28+00:00
987,1064271,2026-08-30T08:18:18+00:00
1065,209120,2026-08-30T08:18:18+00:00
3019,211820,2026-08-30T08:18:18+00:00
9789,294100,2026-08-30T08:18:18+00:00
11208,524220,2026-08-30T08:18:18+00:00
26761,,2026-08-30T08:18:18+00:00
306822,2300320,2026-08-30T08:18:18+00:00
316987,3180070,2026-08-30T08:18:18+00:00
339985,2584990,2026-08-30T08:18:18+00:00
413778,3978240,2026-08-30T08:18:18+00:00
414929,4216080,2026-08-30T08:18:18+00:00
1070,,2026-08-30T14:52:41+00:00
1942,292030,2026-08-30T14:52:41+00:00
3765,,2026-08-30T14:52:41+00:00
5574,251570,2026-08-30T14:52:41+00:00
9333,70600,2026-08-30T14:52:41+00:00
9608,261550,2026-08-30T14:52:41+00:00
55945,,2026-08-30T14:52:41+00:00
117297,3393110,2026-08-30T14:52:41+00:00
126055,,2026-08-30T14:52:41+00:00
216947,2059170,2026-08-30T14:52:41+00:00
248115,,2026-08-30T14:52:41+00:00
250509,2399830,2026-08-30T14:52:41+00:00
269507,1575990,2026-08-30T14:52:41+00:00
347841,3725190,2026-08-30T14:52:41+00:00
404572,4580810,2026-08-30T14:52:41+00:00
730,12100,2026-08-30T19:19:06+00:00
2333,,2026-08-30T19:19:06+00:00
25838,376210,2026-08-30T19:19:06+00:00
76725,738060,2026-08-30T19:19:06+00:00
127531,1208740,2026-08-30T19:19:06+00:00
182241,,2026-08-30T19:19:06+00:00
309862,3070070,2026-08-30T19:19:06+00:00
326323,3252360,2026-08-30T19:19:06+00:00
350698,3784360,2026-08-30T19:19:06+00:00
379432,4191350,2026-08-30T19:19:06+00:00
406274,4132330,2026-08-30T19:19:06+00:00
731,12210,2026-08-30T22:44:14+00:00
8222,335300,2026-08-30T22:44:14+00:00
41876,,2026-08-30T22:44:14+00:00
103281,1240440,2026-08-30T22:44:14+00:00
103281,1708091,2026-08-30T22:44:14+00:00
277143,2531310,2026-08-30T22:44:14+00:00
287462,2796180,2026-08-30T22:44:14+00:00
388583,3429890,2026-08-30T22:44:14+00:00
427,,2026-08-31T05:33:07+00:00
1074,,2026-08-31T05:33:07+00:00
8258,310950,2026-08-31T05:33:07+00:00
62675,,2026-08-31T05:33:07+00:00
76882,814380,2026-08-31T05:33:07+00:00
91269,,2026-08-31T05:33:07+00:00
110474,1672970,2026-08-31T05:33:07+00:00
115555,1029780,2026-08-31T05:33:07+00:00
115555,1612230,2026-08-31T05:33:07+00:00
136879,2358720,2026-08-31T05:33:07+00:00
225604,2684630,2026-08-31T05:33:07+00:00
285168,2780980,2026-08-31T05:33:07+00:00
301426,2737070,2026-08-31T05:33:07+00:00
398960,4406280,2026-08-31T05:33:07+00:00
399378,4554250,2026-08-31T05:33:07+00:00
412511,4892800,2026-08-31T05:33:07+00:00
733,12110,2026-08-31T13:48:01+00:00
3012,,2026-08-31T13:48:01+00:00
143114,1142710,2026-08-31T13:48:01+00:00
146063,,2026-08-31T13:48:01+00:00
267306,2623190,2026-08-31T13:48:01+00:00
356188,3562580,2026-08-31T13:48:01+00:00
386539,4310610,2026-08-31T13:48:01+00:00
4081,,2026-08-31T20:04:04+00:00
7313,,2026-08-31T20:04:04+00:00
87514,962400,2026-08-31T20:04:04+00:00
252791,2414550,2026-08-31T20:04:04+00:00
336964,3059520,2026-08-31T20:04:04+00:00
380523,4195110,2026-08-31T20:04:04+00:00
403874,4415740,2026-08-31T20:04:04+00:00
405185,4691990,2026-08-31T20:04:04+00:00
